Nit;Pho;Dox;Ppn;Sst;Chl;Sal
103.31;1.54;256.13;21.95;13.27;12.24;15.15
99.50;1.42;256.30;21.62;13.26;12.19;15.15
93.90;1.42;255.94;19.93;13.29;12.08;15.27
86.31;1.53;255.48;18.09;13.30;11.62;15.41
77.84;1.65;255.15;16.83;13.30;11.26;15.52
69.66;1.74;255.01;16.45;13.31;11.04;15.62
63.03;1.80;254.84;16.28;13.33;11.02;15.72
58.24;1.85;254.82;16.21;13.36;11.04;15.80
55.14;1.89;254.64;16.23;13.39;10.99;15.87
53.65;1.94;254.52;16.11;13.43;10.86;15.92
53.83;2.01;254.25;16.01;13.46;10.53;15.96
55.83;2.07;253.96;16.04;13.50;10.04;15.98
59.49;2.14;253.71;16.73;13.54;9.76;15.99
64.38;2.20;253.79;18.53;13.57;9.74;15.99
70.51;2.20;254.37;22.22;13.61;10.66;15.97
80.33;2.20;255.09;25.77;13.63;12.36;15.90
93.48;2.19;255.20;27.22;13.63;13.66;15.76
101.35;1.90;256.40;20.97;13.35;11.98;15.33
95.28;1.64;256.18;20.33;13.35;12.04;15.37
87.42;1.54;255.96;19.00;13.37;12.10;15.46
77.57;1.57;255.52;17.85;13.37;11.87;15.55
67.27;1.65;255.33;17.24;13.37;11.63;15.63
58.22;1.73;255.17;16.95;13.38;11.48;15.71
51.53;1.79;255.09;16.72;13.40;11.43;15.79
47.24;1.85;254.97;16.44;13.43;11.33;15.86
44.96;1.91;254.88;16.15;13.45;11.13;15.91
44.64;1.97;254.68;16.14;13.48;10.93;15.95
46.17;2.03;254.51;15.98;13.52;10.59;15.98
49.50;2.10;254.17;16.16;13.56;10.11;15.99
55.27;2.18;254.03;17.22;13.59;9.92;15.99
62.72;2.24;254.11;18.77;13.63;9.95;15.98
70.43;2.27;254.50;22.07;13.67;10.68;15.95
79.52;2.25;255.35;25.31;13.69;12.24;15.88
89.46;2.22;255.57;26.34;13.70;13.57;15.77
98.75;2.39;256.23;20.52;13.46;11.62;15.50
90.34;1.92;256.10;19.55;13.46;11.70;15.55
81.24;1.66;256.06;18.99;13.46;12.18;15.61
71.59;1.58;255.79;18.43;13.45;12.25;15.67
62.00;1.59;255.52;18.07;13.46;12.26;15.73
53.71;1.65;255.47;17.90;13.47;12.30;15.79
47.59;1.73;255.38;17.36;13.48;12.22;15.85
43.75;1.81;255.25;16.79;13.50;11.88;15.90
41.80;1.88;255.02;16.20;13.52;11.48;15.94
41.93;1.94;254.82;15.70;13.55;11.04;15.97
44.09;2.00;254.58;15.49;13.59;10.63;15.98
47.68;2.06;254.39;15.71;13.62;10.28;15.98
52.52;2.13;254.28;17.01;13.65;10.25;15.98
59.70;2.20;254.29;19.19;13.69;10.43;15.96
68.03;2.26;254.59;22.11;13.73;10.96;15.92
76.76;2.26;255.39;25.10;13.76;12.16;15.85
126.87;5.48;253.82;22.70;13.51;11.98;15.52
116.43;4.52;256.42;22.63;13.52;12.50;15.55
106.02;3.69;256.48;20.93;13.52;12.08;15.58
96.29;2.97;256.25;19.64;13.52;11.45;15.63
87.17;2.37;256.09;18.77;13.53;11.44;15.68
78.36;1.94;256.17;18.51;13.53;12.08;15.73
69.98;1.69;256.13;18.64;13.54;12.71;15.78
62.06;1.59;255.95;18.60;13.55;13.07;15.83
55.10;1.60;255.75;18.39;13.56;13.16;15.87
49.27;1.68;255.61;17.91;13.58;12.97;15.91
44.84;1.76;255.38;17.09;13.59;12.40;15.94
42.46;1.84;255.17;16.25;13.61;11.77;15.96
42.37;1.90;254.91;15.55;13.63;11.11;15.97
44.18;1.96;254.68;15.13;13.65;10.57;15.97
46.54;2.01;254.42;15.46;13.67;10.27;15.96
49.44;2.07;254.42;16.73;13.71;10.36;15.95
53.85;2.14;254.67;19.19;13.75;10.91;15.93
61.12;2.21;254.84;21.91;13.79;11.40;15.88
69.36;2.24;255.64;24.10;13.83;12.25;15.81
109.01;4.39;256.48;21.65;13.57;12.39;15.64
100.30;3.89;256.49;20.33;13.58;11.79;15.69
92.20;3.37;256.18;19.37;13.59;11.35;15.74
84.58;2.84;256.17;18.93;13.60;11.35;15.79
77.30;2.35;256.31;18.83;13.61;11.84;15.84
70.27;1.97;256.43;18.92;13.63;12.57;15.88
63.83;1.75;256.34;19.20;13.65;13.14;15.91
57.81;1.67;256.14;19.02;13.67;13.41;15.94
52.32;1.67;255.81;18.42;13.68;13.19;15.96
47.65;1.74;255.52;17.48;13.69;12.57;15.97
44.53;1.81;255.29;16.15;13.70;11.83;15.97
43.78;1.88;254.99;15.30;13.71;10.95;15.96
44.50;1.93;254.67;14.79;13.72;10.35;15.95
45.52;1.96;254.51;14.84;13.73;10.19;15.94
46.45;2.00;254.48;16.01;13.76;10.49;15.93
47.91;2.04;254.79;18.37;13.80;11.26;15.90
53.02;2.10;255.31;21.24;13.85;12.07;15.86
60.48;2.16;255.96;23.94;13.90;12.80;15.79
68.00;2.20;256.29;25.37;13.93;13.23;15.71
68.86;2.57;253.60;22.60;13.86;11.43;15.36
66.11;2.64;253.31;22.29;13.83;11.07;15.37
63.31;2.71;253.20;22.11;13.82;10.72;15.42
60.45;2.77;253.22;21.62;13.82;10.54;15.49
58.14;2.82;253.20;21.82;13.81;10.53;15.56
56.67;2.87;253.22;22.23;13.80;10.73;15.61
55.52;2.91;253.25;22.75;13.79;11.00;15.65
54.49;2.96;253.42;23.41;13.78;11.28;15.65
53.55;3.03;253.53;23.60;13.76;11.43;15.64
